Time,PM 1.0,PM2.5,PM10,Temperature,Gas,Humidity,Pressure,Altitude
1677280376.9323628,5,10,10,17.2003125,102358,33.66350919430715,995.6345341611291,147.70400806443104
1677280378.1241841,5,10,10,17.3065625,103014,33.989264730115224,995.7010322842654,147.14246280919383
1677280379.3161442,5,10,11,17.4278515625,102715,34.03887515715705,995.7595124654607,146.64865038252557
1677280380.5080395,5,10,11,17.558125,102063,34.16724669562108,995.7780284843824,146.49230418426322
1677280381.7005157,5,10,11,17.701875,102477,34.17999923538682,995.7808316890926,146.46863459294914
1677280382.8924675,5,11,12,17.8442578125,101887,34.25951450266973,995.7881449122505,146.40688373660663
1677280384.0842319,5,11,12,17.9946484375,102358,34.42352460653249,995.7861846344127,146.42343575055696
1677280385.276124,5,11,12,18.158125,102063,34.466094155756736,995.803581374762,146.27654367422883
1677280386.4678934,5,11,12,18.3102734375,102122,34.33461363433006,995.8076670692874,146.24204577988615
1677280387.6598601,5,11,12,18.458125,102894,34.14149630939805,995.8217502916688,146.12313382356365
1677280388.851964,5,11,12,18.6110546875,102181,33.937879037012,995.7979260258663,146.3242952621363
1677280390.043734,5,11,11,18.7630078125,102358,33.75106364605859,995.7690001463684,146.56853768165456
1677280391.235453,5,11,11,18.90578125,103315,33.48029344914693,995.740478806309,146.80936990283223
1677280392.4269722,5,11,11,19.0360546875,102834,33.131241247327615,995.7633081634049,146.6165999456823
1677280393.6183007,6,11,11,19.1684765625,102240,32.66152451312556,995.7451831836568,146.76964608148822
1677280394.810423,6,11,11,19.2844921875,101477,32.787654930209605,995.7363170399465,146.84451203688633
1677280396.0018044,6,11,11,19.3934765625,102063,32.72527229594091,995.7331035310948,146.87164712512978
1677280397.1942441,6,11,12,19.509296875,101361,32.608244756051555,995.71526745264,147.0222574788889
1677280398.3861835,6,11,12,19.61671875,101071,32.52919957238869,995.7111272162841,147.05721852907615
1677280399.5781224,6,11,12,19.730390625,100326,32.35690927111958,995.7153144912935,147.02186027501318
1677280400.7698166,7,12,12,19.86359375,99536,32.34636552060341,995.7321771573769,146.87946950124618
1677280401.9615798,7,12,12,20.008515625,99312,32.458295568820134,995.7473769244554,146.7511221586222
1677280403.1534514,7,12,12,20.1583203125,98703,32.42713556278851,995.7532810874604,146.70126763610446
1677280404.3462012,7,12,13,20.30421875,99256,32.412211701789886,995.7698803522106,146.56110537329812
1677280405.5377865,7,12,13,20.4753125,98593,32.38291766931875,995.8013822349983,146.29511233729573
1677280406.7293625,7,12,13,20.6559765625,98648,32.28818571955962,995.8499133453473,145.8853426277134
1677280407.9208827,7,12,13,20.8391796875,98100,31.984091866412015,995.7980793535968,146.32300061893733
1677280409.1133022,7,12,13,21.01203125,97559,31.586092068510492,995.7464969331129,146.7585527917433
